True Fact,False Fact,Category,ID,True Fact Declared False Consequence,Expected True Fact Declared False Answer,False Fact Declared True Consequence,Expected False Fact Declared True Answer
A triangle's interior angles sum to 180 degrees.,A triangle's interior angles sum to 200 degrees.,geometry,triangle_anglesum,A triangle:\nChoices:\nA) can have angles sum to a value other than 180°\nB) must still have angles sum to 180°,A,A triangle:\nChoices:\nA) can have angles sum to a value other than 180°\nB) must still have angles sum to 180°,A
A rectangle has four right angles.,A rectangle has three right angles.,geometry,rectangle_rightangles,A shape with only three right angles:\nChoices:\nA) wouldn't close as a rectangle\nB) could still be a rectangle,A,A shape with only three right angles:\nChoices:\nA) wouldn't close as a rectangle\nB) could still be a rectangle,A
All sides of a square are equal in length.,All sides of a square are not equal in length.,geometry,square_equal_sides,This shape:\nChoices:\nA) would not meet the definition of a square\nB) could still be a square,A,This shape:\nChoices:\nA) would not meet the definition of a square\nB) could still be a square,A
Opposite sides of a rectangle are parallel.,Opposite sides of a rectangle are not parallel.,geometry,rectangle_parallel_sides,"If opposite sides were not parallel, the shape:\nChoices:\nA) would not be a proper rectangle\nB) could still be a rectangle",A,"If opposite sides were not parallel, the shape:\nChoices:\nA) would not be a proper rectangle\nB) could still be a rectangle",A
A diameter of a circle passes through its center.,A diameter of a circle does not pass through its center.,geometry,circle_diameter,A line across the circle:\nChoices:\nA) might not pass through the center\nB) must pass through the center,A,A line across the circle:\nChoices:\nA) might not pass through the center\nB) must pass through the center,A
A full circle is 360 degrees.,A full circle is 400 degrees.,geometry,circle_360deg,A 90° turn would be:\nChoices:\nA) a quarter of a circle\nB) less than a quarter of a circle,B,A 90° turn would be:\nChoices:\nA) a quarter of a circle\nB) less than a quarter of a circle,B
A right angle is 90 degrees.,A right angle is 100 degrees.,geometry,right_angle_90,Four right angles would sum to:\nChoices:\nA) 360°\nB) 400°,B,Four right angles would sum to:\nChoices:\nA) 360°\nB) 400°,B
A parallelogram's opposite angles are equal.,A parallelogram's opposite angles are not equal.,geometry,parallelogram_angles,A parallelogram:\nChoices:\nA) could have unequal opposite angles\nB) must have equal opposite angles,A,A parallelogram:\nChoices:\nA) could have unequal opposite angles\nB) must have equal opposite angles,A
The diagonals of a rectangle bisect each other.,The diagonals of a rectangle do not bisect each other.,geometry,rectangle_diagonals,The shape:\nChoices:\nA) would not satisfy a parallelogram's properties\nB) would remain a normal rectangle,A,The shape:\nChoices:\nA) would not satisfy a parallelogram's properties\nB) would remain a normal rectangle,A
A square's diagonals are equal in length.,A square's diagonals are not equal in length.,geometry,square_diagonals,The figure:\nChoices:\nA) would no longer fit a rectangle's criteria\nB) could still be considered a square,A,The figure:\nChoices:\nA) would no longer fit a rectangle's criteria\nB) could still be considered a square,A
All angles in an equilateral triangle are 60 degrees.,All angles in an equilateral triangle are 90 degrees.,geometry,equilateral_triangle_angles,An equilateral triangle:\nChoices:\nA) can have a right angle\nB) cannot have a right angle,A,An equilateral triangle:\nChoices:\nA) can have a right angle\nB) cannot have a right angle,A
A rhombus has four equal sides.,A rhombus does not have four equal sides.,geometry,rhombus_sides,The shape:\nChoices:\nA) would just be a general parallelogram\nB) would still be a rhombus,A,The shape:\nChoices:\nA) would just be a general parallelogram\nB) would still be a rhombus,A
A cube has 12 edges.,A cube has 10 edges.,geometry,cube_edges,It is:\nChoices:\nA) not actually a cube\nB) still a cube,A,It is:\nChoices:\nA) not actually a cube\nB) still a cube,A
The area of a rectangle is length times width.,The area of a rectangle is length plus width.,geometry,rectangle_area,"For a 5 by 2 rectangle, the formula would give an area of:\nChoices:\nA) 7\nB) 10",A,"For a 5 by 2 rectangle, the area would be:\nChoices:\nA) 7\nB) 10",A
The area of a triangle is half its base times its height.,The area of a triangle is base times height.,geometry,triangle_area,"For a triangle with base 10 and height 10, the area formula would give:\nChoices:\nA) 50\nB) 100",B,"For a triangle with base 10 and height 10, the area would be:\nChoices:\nA) 50\nB) 100",B
The circumference of a circle is 2πr.,The circumference of a circle is πr.,geometry,circle_circumference,"Using this formula, the circumference would be:\nChoices:\nA) half of its actual length\nB) equal to its actual length",A,The circle's circumference would be:\nChoices:\nA) half of its actual length\nB) equal to its actual length,B
The sum of angles in a quadrilateral is 360 degrees.,The sum of angles in a quadrilateral is 180 degrees.,geometry,quadrilateral_anglesum,A four-sided shape:\nChoices:\nA) could have angles summing to 180°\nB) must have angles summing to 360°,A,A four-sided shape:\nChoices:\nA) could have angles summing to 180°\nB) must have angles summing to 360°,A
A scalene triangle has no equal sides.,A scalene triangle has two equal sides.,geometry,scalene_sides,A scalene triangle:\nChoices:\nA) may have two equal sides\nB) cannot have two equal sides,A,A scalene triangle:\nChoices:\nA) may have two equal sides\nB) cannot have two equal sides,A
An isosceles triangle has at least two equal sides.,An isosceles triangle has no equal sides.,geometry,isosceles_sides,An isosceles triangle:\nChoices:\nA) could have all sides different\nB) must have at least two equal sides,A,An isosceles triangle:\nChoices:\nA) could have all sides different\nB) must have at least two equal sides,A
All points on a circle are equidistant from the center.,Some points on a circle are closer to the center than others.,geometry,circle_radius,Some points on the circle:\nChoices:\nA) could be closer to the center than others\nB) are all equally distant from the center,A,Points on the circle:\nChoices:\nA) could be closer to the center than others\nB) are all equally distant from the center,A
A square is a rectangle.,A square is not a rectangle.,geometry,square_rectangle,A square:\nChoices:\nA) must have four right angles\nB) does not have to have four right angles,B,A square:\nChoices:\nA) must have four right angles\nB) does not have to have four right angles,B
A square is a parallelogram.,A square is not a parallelogram.,geometry,square_parallelogram,A square:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,B,A square:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,B
A square is a rhombus.,A square is not a rhombus.,geometry,square_rhombus,A square:\nChoices:\nA) must have four equal sides\nB) does not need four equal sides,B,A square:\nChoices:\nA) must have four equal sides\nB) does not need four equal sides,B
A rectangle is a parallelogram.,A rectangle is not a parallelogram.,geometry,rectangle_parallelogram,A rectangle:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,B,A rectangle:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,B
A rhombus is a parallelogram.,A rhombus is not a parallelogram.,geometry,rhombus_parallelogram,A rhombus:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,B,A rhombus:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,B
A rectangle is a quadrilateral.,A rectangle is a triangle.,geometry,rectangle_quadrilateral,A rectangle:\nChoices:\nA) must have four sides\nB) does not need four sides,B,A rectangle:\nChoices:\nA) must have four sides\nB) does not need four sides,B
A triangle is a polygon.,A triangle is a quadrilateral.,geometry,triangle_is_polygon,A triangle:\nChoices:\nA) must have straight sides\nB) does not need to have straight sides,B,A triangle:\nChoices:\nA) must have straight sides\nB) does not need to have straight sides,B
A circle is an ellipse.,A circle is a polygon.,geometry,circle_ellipse,A circle:\nChoices:\nA) has two distinct focal points\nB) does not need two distinct focal points,B,A circle:\nChoices:\nA) has two distinct focal points\nB) does not need two distinct focal points,B
Parallel lines never intersect.,Parallel lines intersect.,geometry,parallel_lines,Parallel lines:\nChoices:\nA) will eventually meet\nB) will never meet,A,Parallel lines:\nChoices:\nA) will eventually meet\nB) will never meet,A
Perpendicular lines intersect at right angles.,Perpendicular lines do not intersect at right angles.,geometry,perpendicular_lines,Perpendicular lines:\nChoices:\nA) need not form a 90° angle\nB) must form a 90° angle,A,Perpendicular lines:\nChoices:\nA) need not form a 90° angle\nB) must form a 90° angle,A
A cube has 8 vertices.,A cube has 6 vertices.,geometry,cube_vertices,It is:\nChoices:\nA) not actually a cube\nB) still a cube,A,It is:\nChoices:\nA) not actually a cube\nB) still a cube,A
A reflex angle is more than 180 degrees.,A reflex angle is less than 180 degrees.,geometry,reflex_angle,A reflex angle:\nChoices:\nA) can be less than 180°\nB) is always more than 180°,A,A reflex angle:\nChoices:\nA) can be less than 180°\nB) is always more than 180°,A
A cylinder has two circular bases.,A cylinder has one circular base.,geometry,cylinder_bases,The object:\nChoices:\nA) is not a cylinder\nB) can still be a cylinder,A,The object:\nChoices:\nA) is not a cylinder\nB) can still be a cylinder,A
A meter is shorter than a kilometer.,A meter is longer than a kilometer.,measurement,meter_vs_kilometer,1 meter is:\nChoices:\nA) longer than 1 kilometer\nB) shorter than 1 kilometer,A,1 meter is:\nChoices:\nA) longer than 1 kilometer\nB) shorter than 1 kilometer,A
A centimeter is shorter than a meter.,A centimeter is longer than a meter.,measurement,centimeter_vs_meter,1 centimeter is:\nChoices:\nA) longer than 1 meter\nB) shorter than 1 meter,A,1 centimeter is:\nChoices:\nA) longer than 1 meter\nB) shorter than 1 meter,A
A kilogram is heavier than a gram.,A kilogram is lighter than a gram.,measurement,kilogram_vs_gram,1 kilogram is:\nChoices:\nA) heavier than 1 gram\nB) lighter than 1 gram,A,1 kilogram is:\nChoices:\nA) heavier than 1 gram\nB) lighter than 1 gram,A
A pound is heavier than an ounce.,A pound is lighter than an ounce.,measurement,pound_vs_ounce,1 pound is:\nChoices:\nA) heavier than 1 ounce\nB) lighter than 1 ounce,A,1 pound is:\nChoices:\nA) heavier than 1 ounce\nB) lighter than 1 ounce,A
A liter is less than a gallon.,A liter is more than a gallon.,measurement,liter_vs_gallon,1 liter is:\nChoices:\nA) more than 1 gallon\nB) less than 1 gallon,A,1 liter is:\nChoices:\nA) more than 1 gallon\nB) less than 1 gallon,A
A meter is longer than a foot.,A meter is shorter than a foot.,measurement,meter_vs_foot,1 meter is:\nChoices:\nA) longer than 1 foot\nB) shorter than 1 foot,B,1 meter is:\nChoices:\nA) longer than 1 foot\nB) shorter than 1 foot,B
A kilometer is shorter than a mile.,A kilometer is longer than a mile.,measurement,kilometer_vs_mile,1 kilometer is:\nChoices:\nA) longer than 1 mile\nB) shorter than 1 mile,A,1 kilometer is:\nChoices:\nA) longer than 1 mile\nB) shorter than 1 mile,A
An hour is shorter than a day.,An hour is longer than a day.,measurement,hour_vs_day,1 hour is:\nChoices:\nA) longer than 1 day\nB) shorter than 1 day,A,1 hour is:\nChoices:\nA) longer than 1 day\nB) shorter than 1 day,A
A minute is shorter than an hour.,A minute is longer than an hour.,measurement,minute_vs_hour,1 minute is:\nChoices:\nA) longer than 1 hour\nB) shorter than 1 hour,A,1 minute is:\nChoices:\nA) longer than 1 hour\nB) shorter than 1 hour,A
1 kilometer is 1000 meters.,1 kilometer is 100 meters.,measurement,kilometer_to_meter,1000 meters equal:\nChoices:\nA) 1 kilometer\nB) 10 kilometers,B,1000 meters equal:\nChoices:\nA) 1 kilometer\nB) 10 kilometers,B
1 meter is 100 centimeters.,1 meter is 10 centimeters.,measurement,meter_to_centimeter,100 centimeters make:\nChoices:\nA) 1 meter\nB) 10 meters,B,100 centimeters make:\nChoices:\nA) 1 meter\nB) 10 meters,B
1 foot is 12 inches.,1 foot is 10 inches.,measurement,foot_to_inch,120 inches equal:\nChoices:\nA) 10 feet\nB) 12 feet,A,120 inches equal:\nChoices:\nA) 10 feet\nB) 12 feet,B
1 pound is 16 ounces.,1 pound is 10 ounces.,measurement,pound_to_ounce,160 ounces equal:\nChoices:\nA) 10 pounds\nB) 16 pounds,A,160 ounces equal:\nChoices:\nA) 10 pounds\nB) 16 pounds,B
1 kilogram is 1000 grams.,1 kilogram is 100 grams.,measurement,kilogram_to_gram,1000 grams equal:\nChoices:\nA) 1 kilogram\nB) 10 kilograms,B,1000 grams equal:\nChoices:\nA) 1 kilogram\nB) 10 kilograms,B
1 liter is 1000 milliliters.,1 liter is 100 milliliters.,measurement,liter_to_milliliter,1000 milliliters equal:\nChoices:\nA) 1 liter\nB) 10 liters,B,1000 milliliters equal:\nChoices:\nA) 1 liter\nB) 10 liters,B
1 meter is 1000 millimeters.,1 meter is 100 millimeters.,measurement,meter_to_millimeter,1000 millimeters equal:\nChoices:\nA) 1 meter\nB) 10 meters,B,1000 millimeters equal:\nChoices:\nA) 1 meter\nB) 10 meters,B
1 centimeter is 10 millimeters.,1 centimeter is 100 millimeters.,measurement,centimeter_to_millimeter,100 millimeters equal:\nChoices:\nA) 1 centimeter\nB) 10 centimeters,A,100 millimeters equal:\nChoices:\nA) 1 centimeter\nB) 10 centimeters,A
1 hour is 60 minutes.,1 hour is 100 minutes.,measurement,hour_to_minute,300 minutes equal:\nChoices:\nA) 5 hours\nB) 3 hours,A,300 minutes equal:\nChoices:\nA) 5 hours\nB) 3 hours,B
1 minute is 60 seconds.,1 minute is 100 seconds.,measurement,minute_to_second,300 seconds equal:\nChoices:\nA) 5 minutes\nB) 3 minutes,A,300 seconds equal:\nChoices:\nA) 5 minutes\nB) 3 minutes,B
1 day is 24 hours.,1 day is 20 hours.,measurement,day_to_hour,120 hours equal:\nChoices:\nA) 5 days\nB) 6 days,A,120 hours equal:\nChoices:\nA) 5 days\nB) 6 days,B
1 week is 7 days.,1 week is 10 days.,measurement,week_to_day,70 days equal:\nChoices:\nA) 10 weeks\nB) 7 weeks,A,70 days equal:\nChoices:\nA) 10 weeks\nB) 7 weeks,B
A year has 12 months.,A year has 10 months.,measurement,year_months,A decade spans:\nChoices:\nA) 120 months\nB) 100 months,A,A decade spans:\nChoices:\nA) 120 months\nB) 100 months,B
A decade has 10 years.,A decade has 12 years.,measurement,decade_years,120 years equal:\nChoices:\nA) 12 decades\nB) 10 decades,A,120 years equal:\nChoices:\nA) 12 decades\nB) 10 decades,B
A century is 100 years.,A century is 1000 years.,measurement,century_years,1000 years equal:\nChoices:\nA) 10 centuries\nB) 1 century,A,1000 years equal:\nChoices:\nA) 10 centuries\nB) 1 century,B
1 mile is 5280 feet.,1 mile is 5000 feet.,measurement,mile_to_feet,5000 feet equal:\nChoices:\nA) 0.95 miles\nB) 1 mile,A,5280 feet equal:\nChoices:\nA) 1 mile\nB) 1.056 miles,B
Water boils at 100°C at sea level.,Water boils at 50°C at sea level.,measurement,boiling_point,"At sea level, heating water to 100°C will:\nChoices:\nA) guarantee boiling\nB) not guarantee boiling",B,Heating water to 100°C at sea level will:\nChoices:\nA) guarantee boiling\nB) not guarantee boiling,A
Water freezes at 0°C at sea level.,Water freezes at 10°C at sea level.,measurement,freezing_point,"At 0°C, water will:\nChoices:\nA) turn to ice\nB) remain liquid",B,"At 0°C, water will:\nChoices:\nA) turn to ice\nB) remain liquid",A
Normal human body temperature is about 37°C.,Normal human body temperature is about 30°C.,measurement,body_temperature,A thermometer reading of 37°C would indicate:\nChoices:\nA) a fever\nB) normal body temperature,A,A reading of 37°C would indicate:\nChoices:\nA) a fever\nB) normal body temperature,B
Sound travels slower than light.,Sound travels faster than light.,measurement,sound_vs_light,"In a thunderstorm, you would:\nChoices:\nA) see lightning before hearing thunder\nB) hear thunder before seeing lightning",A,In a thunderstorm you would:\nChoices:\nA) see lightning before hearing thunder\nB) hear thunder before seeing lightning,B
Absolute zero is -273.15°C.,Absolute zero is 0°C.,measurement,absolute_zero,No object can be cooled below:\nChoices:\nA) 0°C\nB) -273.15°C,A,No object can be cooled below:\nChoices:\nA) 0°C\nB) -273.15°C,A
The Earth rotates once every 24 hours.,The Earth rotates once every 30 hours.,measurement,earth_rotation,After 24 hours the Earth will:\nChoices:\nA) not complete one rotation\nB) complete one rotation,A,After 24 hours the Earth will:\nChoices:\nA) not complete one rotation\nB) complete one rotation,B
The Earth orbits the Sun in about 365 days.,The Earth orbits the Sun in about 200 days.,measurement,earth_orbit,Seasons in one year would:\nChoices:\nA) change more quickly\nB) last the same as now,A,Seasons in one year would:\nChoices:\nA) change more quickly\nB) last the same as now,B
"The speed of light is about 300,000 km per second.",The speed of light is about 300 km per second.,measurement,light_speed,"To travel 300,000 km, light would take:\nChoices:\nA) about 1 second\nB) about 1000 seconds",B,"To travel 300,000 km, light would take:\nChoices:\nA) about 1 second\nB) about 1000 seconds",A
A year has approximately 52 weeks.,A year has approximately 60 weeks.,measurement,year_weeks,One year lasts:\nChoices:\nA) ~52 weeks\nB) 60 weeks,B,One year lasts:\nChoices:\nA) ~52 weeks\nB) 60 weeks,A
100°C is 212°F.,100°C is 100°F.,measurement,100C_to_F,"At water's boiling point, a Fahrenheit thermometer would read:\nChoices:\nA) 212°\nB) 100°",B,"At water's boiling point, a Fahrenheit thermometer would read:\nChoices:\nA) 212°\nB) 100°",A
0°C is 32°F.,0°C is 0°F.,measurement,0C_to_F,"At water's freezing point, a Fahrenheit thermometer would read:\nChoices:\nA) 32°\nB) 0°",B,"At water's freezing point, a Fahrenheit thermometer would read:\nChoices:\nA) 32°\nB) 0°",A
Room temperature is about 20°C.,Room temperature is about 0°C.,measurement,room_temperature,20°C would feel:\nChoices:\nA) warm\nB) freezing,A,20°C would feel:\nChoices:\nA) warm\nB) freezing,B
A millennium is 1000 years.,A millennium is 100 years.,measurement,millennium_years,1000 years is:\nChoices:\nA) one millennium\nB) ten millennia,A,1000 years is:\nChoices:\nA) one millennium\nB) ten millennia,B
A nanosecond is one billionth of a second.,A nanosecond is one millionth of a second.,measurement,nanosecond,1 nanosecond is:\nChoices:\nA) shorter than 1 microsecond\nB) longer than 1 microsecond,A,1 nanosecond is:\nChoices:\nA) shorter than 1 microsecond\nB) longer than 1 microsecond,B
A microsecond is one millionth of a second.,A microsecond is one thousandth of a second.,measurement,microsecond,1 microsecond is:\nChoices:\nA) shorter than 1 millisecond\nB) longer than 1 millisecond,A,1 microsecond is:\nChoices:\nA) shorter than 1 millisecond\nB) longer than 1 millisecond,B
